"No.","Time","Source","Destination","Protocol","Length","Info"
"124","1.014883","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=48840, ID=d4c8) [Reassembled in #135]"
"125","1.014883","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=50320, ID=d4c8) [Reassembled in #135]"
"126","1.014883","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=51800, ID=d4c8) [Reassembled in #135]"
"127","1.014883","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=53280, ID=d4c8) [Reassembled in #135]"
"128","1.014883","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=54760, ID=d4c8) [Reassembled in #135]"
"129","1.014883","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=56240, ID=d4c8) [Reassembled in #135]"
"130","1.014883","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=57720, ID=d4c8) [Reassembled in #135]"
"131","1.014883","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=59200, ID=d4c8) [Reassembled in #135]"
"132","1.014883","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=60680, ID=d4c8) [Reassembled in #135]"
"133","1.014883","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=62160, ID=d4c8) [Reassembled in #135]"
"134","1.014883","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=63640, ID=d4c8) [Reassembled in #135]"
"135","1.014883","192.168.1.104","192.168.1.240","ICMP","422","Echo (ping) request  id=0x0001, seq=10/2560, ttl=128 (reply in 180)"
"136","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=0, ID=e2c7) [Reassembled in #180]"
"137","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=1480, ID=e2c7) [Reassembled in #180]"
"138","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=2960, ID=e2c7) [Reassembled in #180]"
"139","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=4440, ID=e2c7) [Reassembled in #180]"
"140","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=5920, ID=e2c7) [Reassembled in #180]"
"141","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=7400, ID=e2c7) [Reassembled in #180]"
"142","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=8880, ID=e2c7) [Reassembled in #180]"
"143","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=10360, ID=e2c7) [Reassembled in #180]"
"144","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=11840, ID=e2c7) [Reassembled in #180]"
"145","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=13320, ID=e2c7) [Reassembled in #180]"
"146","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=14800, ID=e2c7) [Reassembled in #180]"
"147","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=16280, ID=e2c7) [Reassembled in #180]"
